,Dataset name,n,m,Solution value,Time,isCorrect
0,data/exp/inputs/RAND/110_90_90.txt,110,5924,2728,0.5847229957580566,True
1,data/exp/inputs/RAND/140_80_90.txt,140,7784,7283,1.7183334827423096,True
2,data/exp/inputs/RAND/200_70_90.txt,200,13930,13257,3.6719470024108887,True
3,data/exp/inputs/RAND/200_90_30.txt,200,17910,16493,5.636170387268066,True
4,data/exp/inputs/RAND/140_80_30.txt,140,7784,7157,1.8861398696899414,True
5,data/exp/inputs/RAND/170_80_60.txt,170,11492,10686,3.488856077194214,True
6,data/exp/inputs/RAND/200_50_90.txt,200,9950,9594,2.2082290649414062,True
7,data/exp/inputs/RAND/200_70_30.txt,200,13930,13171,5.969923734664917,True
8,data/exp/inputs/RAND/110_90_30.txt,110,5541,4690,0.8989534378051758,True
9,data/exp/inputs/RAND/200_90_60.txt,200,17910,16502,5.297749042510986,True
10,data/exp/inputs/RAND/170_90_90.txt,170,12962,11762,3.2009243965148926,True
11,data/exp/inputs/RAND/110_70_30.txt,110,4583,4139,0.8020942211151123,True
12,data/exp/inputs/RAND/80_80_30.txt,80,2528,2170,0.32839536666870117,True
13,data/exp/inputs/RAND/200_50_30.txt,200,9950,9411,2.9225716590881348,True
14,data/exp/inputs/RAND/200_50_60.txt,200,9950,9690,2.598376750946045,True
15,data/exp/inputs/RAND/110_50_90.txt,110,5430,4660,0.8409011363983154,True
16,data/exp/inputs/RAND/110_90_60.txt,110,5592,4615,0.7950999736785889,True
17,data/exp/inputs/RAND/140_80_60.txt,140,7784,7151,1.759350299835205,True
18,data/exp/inputs/RAND/170_50_30.txt,170,7507,7041,1.896211862564087,True
19,data/exp/inputs/RAND/140_50_60.txt,140,4865,4680,0.8880977630615234,True
20,data/exp/inputs/RAND/110_80_60.txt,110,4796,4299,0.906470775604248,True
21,data/exp/inputs/RAND/200_80_60.txt,200,15920,14932,7.187840938568115,True
22,data/exp/inputs/RAND/80_70_60.txt,80,2212,1974,0.3579232692718506,True
23,data/exp/inputs/RAND/80_50_60.txt,80,1580,1477,0.26631951332092285,True
24,data/exp/inputs/RAND/170_70_30.txt,170,10991,10209,3.5229392051696777,True
25,data/exp/inputs/RAND/80_90_60.txt,80,2844,2337,0.34259605407714844,True
26,data/exp/inputs/RAND/170_80_90.txt,170,11492,10988,3.149578809738159,True
27,data/exp/inputs/RAND/170_90_60.txt,170,13468,11792,3.2071919441223145,True
28,data/exp/inputs/RAND/170_50_60.txt,170,8670,8179,2.504887819290161,True
29,data/exp/inputs/RAND/170_70_60.txt,170,12160,11239,3.436830997467041,True
30,data/exp/inputs/RAND/110_70_90.txt,110,5428,4710,0.8422584533691406,True
31,data/exp/inputs/RAND/140_50_90.txt,140,4865,4587,0.7747156620025635,True
32,data/exp/inputs/RAND/110_80_90.txt,110,4796,4440,0.6966848373413086,True
33,data/exp/inputs/RAND/80_80_60.txt,80,2528,2209,0.3078286647796631,True
34,data/exp/inputs/RAND/110_50_30.txt,110,3195,2908,0.554650068283081,True
35,data/exp/inputs/RAND/170_70_90.txt,170,12986,11749,3.2429563999176025,True
36,data/exp/inputs/RAND/200_80_90.txt,200,15920,15356,4.467480659484863,True
37,data/exp/inputs/RAND/80_50_90.txt,80,1580,1468,0.12995314598083496,True
38,data/exp/inputs/RAND/170_80_30.txt,170,11492,10676,3.5946595668792725,True
39,data/exp/inputs/RAND/200_80_30.txt,200,15920,14913,5.990663528442383,True
40,data/exp/inputs/RAND/140_90_90.txt,140,8757,7810,1.7180979251861572,True
41,data/exp/inputs/RAND/80_80_90.txt,80,2528,2271,0.24639296531677246,True
42,data/exp/inputs/RAND/110_70_60.txt,110,5084,4525,0.945289134979248,True
43,data/exp/inputs/RAND/110_80_30.txt,110,4796,4312,0.8462233543395996,True
44,data/exp/inputs/RAND/140_50_30.txt,140,4865,4538,0.9487955570220947,True
45,data/exp/inputs/RAND/80_90_30.txt,80,2844,2332,0.30204343795776367,True
46,data/exp/inputs/RAND/200_70_60.txt,200,13930,13170,4.771380424499512,True
47,data/exp/inputs/RAND/200_90_90.txt,200,17910,16342,5.512479305267334,True
48,data/exp/inputs/RAND/140_70_60.txt,140,6811,6305,1.6732783317565918,True
49,data/exp/inputs/RAND/170_90_30.txt,170,13285,11792,3.1417293548583984,True
50,data/exp/inputs/RAND/140_70_30.txt,140,6811,6272,1.8086962699890137,True
51,data/exp/inputs/RAND/170_50_90.txt,170,12949,11581,3.2409493923187256,True
52,data/exp/inputs/RAND/140_90_60.txt,140,8757,7824,1.7517952919006348,True
53,data/exp/inputs/RAND/80_70_90.txt,80,2212,2043,0.20819997787475586,True
54,data/exp/inputs/RAND/80_90_90.txt,80,2844,2355,0.33820247650146484,True
55,data/exp/inputs/RAND/110_50_60.txt,110,3623,3301,0.590094804763794,True
56,data/exp/inputs/RAND/140_90_30.txt,140,8757,7760,1.6983156204223633,True
57,data/exp/inputs/RAND/80_70_30.txt,80,2212,1954,0.2556173801422119,True
58,data/exp/inputs/RAND/80_50_30.txt,80,1580,1420,0.17406463623046875,True
59,data/exp/inputs/RAND/140_70_90.txt,140,6811,6373,1.0653297901153564,True
